C,08:50,Dormitory
C,09:20,Dormitory
C,09:50,Dormitory
C,10:20,Dormitory
C,10:50,Dormitory
C,11:20,Dormitory
C,11:50,Dormitory
C,12:20,Dormitory
C,12:50,Dormitory
C,13:20,Dormitory
C,13:50,Dormitory
C,14:20,Dormitory
C,14:50,Dormitory
C,15:20,Dormitory
C,15:50,Dormitory
C,16:20,Dormitory
C,16:50,Dormitory
C,17:20,Dormitory
C,17:50,Dormitory
C,18:20,Dormitory
C,18:50,Dormitory
C,19:20,Dormitory
C,19:50,Dormitory
C,20:20,Dormitory
C,20:50,Dormitory
C,21:20,Dormitory
C,21:50,Dormitory
